,830,910,950,1230,1330,1430
,910,950,1030,1315,1415,1515
MON,"Biology
meet.google.com/fuf-jadm-gqu

Computer Science
To be shared later

Economics (B)
Offline

Entrepreneurship
meet.google.com/ayu-pcmh-bmv

Physical Education
To be shared later

Informatics Practices (A)
meet.google.com/jga-dopz-jup

Psychology (C)
meet.google.com/iyw-inrv-dai

Sanskrit
meet.google.com/oow-ivzw-moz","Math (A) - Applied
meet.google.com/apv-gthf-orj

Math (B) - Applied
meet.google.com/apv-gthf-orj",@AHA Arts,"English (C)
meet.google.com/dak-dayi-zup

Chemistry
meet.google.com/irk-xyaa-eao

Business Studies (A)
meet.google.com/qqz-dkup-ugv

Geography
meet.google.com/iki-vfai-foz ","Physics
meet.google.com/nso-npmy-hxm

Accounts
meet.google.com/wbu-wpno-zng

Psychology (A)
To be shared later

Sociology
To be shared later

Informatics Practices (B)
meet.google.com/tdg-gbfu-hch","Math (A) - Standard
meet.google.com/fdc-ywcx-exa

Math (A) - Applied
Offline - Self study

Fine Arts
To be shared later

History
meet.google.com/xxv-ssif-tmb

Economics (A)
meet.google.com/gjj-jfqd-rxh

Business Studies (B)
meet.google.com/gsa-rgbm-ndt

Psychology (B)
meet.google.com/ihd-kroi-mue

Hindi
meet.google.com/hvn-bvmo-qyf

Physical Education
To be shared later

Geography
To be shared later

Spanish
To be shared later"
TUE,"English (C)
meet.google.com/dak-dayi-zup

Chemistry
meet.google.com/irk-xyaa-eao

Business Studies (A)
meet.google.com/wrw-dpja-cdb

Geography
meet.google.com/iki-vfai-foz ","English (A)
meet.google.com/otc-kptm-jcy

English (B)
meet.google.com/eui-dhxz-xfp

Home Science
meet.google.com/fiq-xykr-acv

Political Science
meet.google.com/bqg-scmc-yzh

Math (B) - Standard
meet.google.com/ncb-bizj-pfz

Math (B) - Applied
Offline - Self study","Math (A) - Applied
meet.google.com/apv-gthf-orj

Math (B) - Applied
meet.google.com/apv-gthf-orj","Physics
meet.google.com/nso-npmy-hxm

Accounts
meet.google.com/wbu-wpno-zng

Psychology (A)
To be shared later

Sociology
To be shared later

Informatics Practices (B)
meet.google.com/tdg-gbfu-hch","Fine Arts
To be shared later

%Self Study","Biology
meet.google.com/fuf-jadm-gqu

Computer Science
To be shared later

Economics (B)
meet.google.com/miu-xkkk-iky

Entrepreneurship
meet.google.com/wwq-osdj-oit

Physical Education
To be shared later

Informatics Practices (A)
meet.google.com/jga-dopz-jup

Psychology (C)
meet.google.com/iyw-inrv-dai

Sanskrit
meet.google.com/oow-ivzw-moz"
WED,,,"$1200#Practice Exam
English (A)
On Campus

$1200#Practice Exam
English (B)
On Campus",,,
THU,"Math (A) - Standard
meet.google.com/fdc-ywcx-exa

Math (A) - Applied
Offline - Self study

Fine Arts
Offline - Self study

History
meet.google.com/ybb-ggjt-qwd

Economics (A)
meet.google.com/mzf-kgpk-rwx

Business Studies (B)
meet.google.com/nsx-zwva-nrf

Psychology (B)
meet.google.com/ihd-kroi-mue

Hindi
meet.google.com/hvn-bvmo-qyf

Physical Education
To be shared later

Geography
To be shared later

Spanish
To be shared later","English (A)
meet.google.com/otc-kptm-jcy

English (B)
meet.google.com/eui-dhxz-xfp

Home Science
meet.google.com/aaa-dnue-cug

Political Science
meet.google.com/bqg-scmc-yzh

Math (B) - Standard
meet.google.com/ncb-bizj-pfz

Math (B) - Applied
Offline","$1200#Practice Exam
Hindi
Online

$1200#Practice Exam
History
Online

$1200#Practice Exam
Geography
Online

$1200#Practice Exam
Entrepreneurship
Online","@Well Being
meet.google.com/rdb-ukpk-ynx","English (C)
meet.google.com/dak-dayi-zup

Chemistry
Self study

Business Studies (A)
To be shared later

Geography
meet.google.com/iki-vfai-foz","Physics
meet.google.com/nso-npmy-hxm

Accounts
meet.google.com/wbu-wpno-zng

Psychology (A)
To be shared later

Sociology
To be shared later

Informatics Practices (B)
meet.google.com/tdg-gbfu-hch"
FRI,"Math (A) - Standard
meet.google.com/fdc-ywcx-exa

Math (A) - Applied
Offline - Self study

Fine Arts
To be shared later

History
meet.google.com/ohe-uxkq-cxp

Hindi
meet.google.com/hvn-bvmo-qyf

Economics (A)
Offline

Business Studies (B)
meet.google.com/hkc-cqti-hny

Psychology (B)
meet.google.com/ihd-kroi-mue

Physical Education
To be shared later

Geography
To be shared later

Spanish
To be shared later","Math (A) - Applied
meet.google.com/apv-gthf-orj

Math (B) - Applied
meet.google.com/apv-gthf-orj","$1200#Practice Exam
Accounts
Online

$1200#Practice Exam
Chemistry
Online","English (C)
meet.google.com/dak-dayi-zup

Chemistry
Self study

Business Studies (A)
meet.google.com/qhz-yodt-mns

Geography
meet.google.com/iki-vfai-foz ","Biology
meet.google.com/fuf-jadm-gqu

Computer Science
To be shared

Economics (B)
meet.google.com/vdn-iine-vqe

Entrepreneurship
meet.google.com/sah-ybso-qmi

Physical Education
To be shared

Informatics Practices (A)
meet.google.com/jga-dopz-jup

Psychology (C)
meet.google.com/iyw-inrv-dai

Sanskrit
meet.google.com/oow-ivzw-moz","English (A)
meet.google.com/otc-kptm-jcy

English (B)
meet.google.com/eui-dhxz-xfp

Home Science
meet.google.com/tjz-ygxs-baj

Political Science
meet.google.com/bqg-scmc-yzh

Math (B) - Standard
meet.google.com/ncb-bizj-pfz

Math (B) - Applied
Offline - Self study"
SAT,,,"$1200#Practice Exam
Political Science
Online

$1200#Practice Exam
Home Science
Online

$1200#Practice Exam
Informatics Practices (A)
Online

$1200#Practice Exam
Informatics Practices (B)
Online",,,
