,0830,0900,1000,1100,1200,1330,1430
,0900,1000,1100,1200,1300,1430,1530
MON,"@Circle Time
!Corbett
meet.google.com/mzn-dhbd-vcj
!Sariska
meet.google.com/wbu-wpno-zng
!Gir
meet.google.com/dvy-enor-kdw  ","Biology 
meet.google.com/fuf-jadm-gqu

Computer Science
meet.google.com/imq-dxov-ixw

Economics (B)
meet.google.com/vzh-qybc-por

Entrepreneurship
meet.google.com/qhs-ivmw-mmx

PE
meet.google.com/hex-ckic-eoj

Informatics Practices (A)
meet.google.com/jga-dopz-jup

Psychology (C)
meet.google.com/iyw-inrv-dai

Sanskrit
To be shared later","Math (A) - Applied
To be shared later

Math (B) - Applied
To be shared later

@Self Study","English (C)
meet.google.com/dak-dayi-zup

Chemistry
meet.google.com/irk-xyaa-eao

Business Studies (A)
meet.google.com/xyq-teqy-ygu

Geography
Self study","Physics
meet.google.com/pfk-zhnh-kqe

Accounts
meet.google.com/wbu-wpno-zng

Psychology (A)
meet.google.com/ffw-tuse-ddn 

Sociology
meet.google.com/hfs-tpvb-yws

Informatics Practices (B)
meet.google.com/tdg-gbfu-hch","Math (A) - Standard
meet.google.com/fdc-ywcx-exa

Math (A) - Applied
Offline

Fine Arts  
meet.google.com/nrj-qooj-sgs

History
meet.google.com/xxv-ssif-tmb

Economics (A)
meet.google.com/gjj-jfqd-rxh

Business Studies (B)
meet.google.com/sah-kymf-rij

Psychology (B)
meet.google.com/ihd-kroi-mue

@PE
meet.google.com/fhp-dpvn-crd

Hindi
meet.google.com/hvn-bvmo-qyf

Spanish
To be shared later

Geography
To be shared later",@AHA Arts
TUE,,"English (C)
meet.google.com/dak-dayi-zup

Chemistry
meet.google.com/irk-xyaa-eao

Business Studies (A)
meet.google.com/rmz-eepe-jsz

Geography
Self study","English (A)
meet.google.com/mzn-dhbd-vc 

English (B) 
meet.google.com/eui-dhxz-xfp

Home Science
meet.google.com/ath-ozqr-eot 

Political Science
Offline 

Math (B) - Standard
meet.google.com/ncb-bizj-pfz

Math (B) - Applied
Offline ","Physics
meet.google.com/pfk-zhnh-kqe

Accounts
meet.google.com/wbu-wpno-zng

Psychology (A)
To be shared later

Sociology
meet.google.com/hfs-tpvb-yws

Informatics Practices (B)
Offline","Fine Arts
meet.google.com/hcg-vdkh-wjd

@Self Study","Biology
meet.google.com/fuf-jadm-gqu

Computer Science
meet.google.com/pwc-wobp-sur

Economics (B)
meet.google.com/miu-xkkk-iky

Entrepreneurship
meet.google.com/mjm-qmxd-zec

PE
meet.google.com/hex-ckic-eoj

Informatics Practices (A)
meet.google.com/jga-dopz-jup

Psychology (C)
meet.google.com/iyw-inrv-dai

Sanskrit
To be shared later",
THU,,"Math (A) - Standard
meet.google.com/fdc-ywcx-exa

Math (A) - Applied
Offline

History
meet.google.com/ybb-ggjt-qwd

Economics (A)
meet.google.com/mzf-kgpk-rwx

Business Studies (B)
meet.google.com/jag-zupa-dkv

Psychology (B)
meet.google.com/ihd-kroi-mue

PE
meet.google.com/fhp-dpvn-crd

Hindi
meet.google.com/hvn-bvmo-qyf

Spanish
To be shared later

Geography
To be shared later","English (A)
meet.google.com/mzn-dhbd-vcj  

English (B)
meet.google.com/eui-dhxz-xfp 

Home Science
meet.google.com/jnc-huzt-nit  

Political Science
meet.google.com/bqg-scmc-yzh 

Math (B) - Standard
meet.google.com/ncb-bizj-pfz 

Math (B) - Applied
Offline  ","@Well Being
meet.google.com/thr-uebs-eyi","English (C)
meet.google.com/dak-dayi-zup

Chemistry
meet.google.com/irk-xyaa-eao

Business Studies (A)
meet.google.com/xey-oyzb-mnq

Geography
Self study","Physics
meet.google.com/pfk-zhnh-kqe

Accounts
meet.google.com/wbu-wpno-zng

Psychology (A)
meet.google.com/ffw-tuse-ddn

Sociology
Offline

Informatics Practices (B)
meet.google.com/tdg-gbfu-hch",@AHA Sports
FRI,,"Math (A) - Standard
meet.google.com/fdc-ywcx-exa

Math (A) - Applied
Offline

Fine Arts
meet.google.com/jzg-fdoz-zof

History
meet.google.com/ohe-uxkq-cxp

Economics (A)
Offline

Business Studies (B)
meet.google.com/aah-ccsm-ccj

Psychology (B)
meet.google.com/ihd-kroi-mue

PE
meet.google.com/fhp-dpvn-crd

Spanish
To be shared later

Geography
Self study

Hindi
meet.google.com/hvn-bvmo-qyf","English (A)
meet.google.com/mzn-dhbd-vcj 

English (B)
meet.google.com/eui-dhxz-xfp

Home Science
meet.google.com/pyv-pirf-hea 

Political Science
meet.google.com/bqg-scmc-yzh 

Math (B) - Standard
meet.google.com/ncb-bizj-pfz 

Math (B) - Applied
Offline  ","English (C)
meet.google.com/dak-dayi-zup

Chemistry
meet.google.com/irk-xyaa-eao

Business Studies (A)
meet.google.com/nzn-qxby-yvi

Geography
Self study","Biology
meet.google.com/fuf-jadm-gqu

Computer Science
meet.google.com/fxv-mmee-twu

Economics (B)
meet.google.com/vdn-iine-vqe

Entrepreneurship
meet.google.com/ysz-myms-ojo

PE
meet.google.com/hex-ckic-eoj

Informatics Practices (A)
meet.google.com/jga-dopz-jup

Psychology (C)
meet.google.com/iyw-inrv-dai

Sanskrit
To be shared later
","@Homeroom
!Corbett
meet.google.com/mzn-dhbd-vcj
!Sariska
meet.google.com/wbu-wpno-zng
!Gir
meet.google.com/dvy-enor-kdw  ",
SAT,,"Math (A) - Applied
To be shared later

Math (B) - Applied
To be shared later",,,,,
